"47","Manipal Hospital Bloodbank","16.484433","80.617219","Soumyanagar; Tadepalli; Guntur","NA"
"48","Indian Red Cross Society Blood Bank. Narassraopet","16.235919","80.048412","Area Hospital; Narasaraopeta ","09885222155, 09885838866"
"49","NRT Blood Bank","16.193331","80.019956","GBR Super Speciality Hospital; 10-1-10/1; Palnadu Road; Narasaraopeta ","9985148884"
"50","Anjireddy Multi Specality Blood Bank ","16.478789","79.893642","Gaganamma Temple; Piduguralla ","9849212042"
"51","Red Cross Blood Bank","16.017425","80.829475"," Government Hospital Premises  Repalle-522265  Guntur Dist;A.P ","9177883353"
"52","Area Hospital (Repeated)","16.239531","80.64934","Blood Bank Medical Officer;  Blood Bank; Area Hospital; Tenali; Guntur District","9866686760"
"53","APVVP District Hospital Blood Bank","0","0","APVVP District Hospital Premises; Chenchupeta; Tenali; Guntur",""
"54","Rudhira Voluntary Blood Bank","16.243428","80.646397","D.No. 7-5-56; KRR Complex; 1st Floor; Opposite ASN college; Prakasam Road; Ganganammapeta; Tenali","9247155622"
"55","Best Rotary Blood Bank","16.251179","80.64934","Mahila Mandali Building; Sarojini Naidu Street; Kothapeta; Tenali  ","09849833321	"
"56","Area Hospital Blood Bank","16.349045","81.049715","Gudivada","7799990904"
"57","Dr. Pattabhi Red Cross Blood Bank ","16.190546","81.136154","DM & HO Campus; Machilipatnam","NA"
"58","Government General Hospital (Repeated)","16.513339","80.618989","Government General Hospital; Ramavarapadu; Vijayawada - 520007","8662452244"
"59","Government District Headquarters Hospital machilipatnam blood bank","16.176867","81.138647","Machilipatnam",""
"60","Rotary Red Cross Blood Bank","16.506174","80.648015","H.No: 26-5-5; G.S Raju Street; Gandhinagar; Vijayawada - 520003. Krishna District  ","9848124977"
"61","Vijaya Sri Blood Bank","16.51304","80.635644","VijayaSri Palace;D. No. 29-19-27/4; Ground Floor; First Floor and Second Floor; Dornakal Road; Suryaraopet; Vijayawada","9392120187"
"62","Lions Blood Bank","16.506174","80.648015","D. No. 29-19-85; 1st & 2nd Floor;Old Janatha Hospital Building; Dornakal Road; Suryaraopet; Vijayawada ","NA"
"63","University General Hospital Blood Bank","16.516111","80.670085","Ring Road; Gunadala; Vijayawada","NA"
"64","M/s. Chaitanya Blood Bank","16.498839","80.655488","40-9/1-26; Vasavya Complex; Benz Circle; Vijayawada ","9246289777"
"65","Nagarjuna Hospital Blood Bank","0","0","Kanuru; Vijayawada","9848141550"
"66","Saint Ann&#39;s Hospital Blood Bank  ","0","0","Punnammathota; Bandhar Road; Vijayawada - 2 ","NA"
"67","Rotary Red Cross Blood Bank (Repeated)","0","0","26-5-5; G.S. Raju Road; Vijayawada ",""
"68","Dr. Pinnamaneni Siddhartha Insitiute of Medical Sciences & Research Foundation (Dr.P.SIMS & RF) Blood Bank  ","16.551655","80.832047","Chinnaoutapalli. ","NA"
"69","Bethesda Blood Bank","16.512971","80.632664","29-10-2; Ground Floor; Narsimharao Street; Suryaraopet; Vijayawada ","098498 33321"
"70","Smt CH. Manju Vani Vara Prasad, Lions District 316D Blood Bank ","16.510309","80.63251","H.No.29-4-54K; Conan Dhanvoda Anantham Complex; Prakasam Road; Suryaraopet; Vijayawada","9849118077"
"71","Suraksha Voluntary Blood Bank","16.51343","80.632861","29-10-8; Govinda Rajulu Naidu Street; Suryaraopet; Vijayawada  ","9394777899"
"72","M/s Ayush Nri Lepl Health Care Private Limited  ","0","0","First Floor; D. No. 40-13-3& 3A; Ring Road; Sriramachandra Nagar; Vijayawada ","8498061158"
"73","M/s. Nimra Institute of Medical Sciences ","0","0","Ground Floor; Adjacent to Central Lab; Teaching Hospital & Research Centre; Nimranagar; Jupudi; Ibrahimpatmnam; Vijayawada.Krishna ",""
"74","RCH -II Blood Bank, Area Hospital, Adoni","15.632223","77.272837","Dr. H. Siva Reddy; Civil Surgeon RMO (Rtd);Medical Officer  IRCS; RCH-II; Blood Bank; Area Hospital; Adoni-518301","9440503302"
"75","M/s. Indian Red Cross Society Blood Bank RCH 2","15.632223","77.272837","First Floor; Government Area Hospital; Adoni; Kurnool ","9440503302"
"76","M/s. Government General Hospital Blood Bank","15.820654","78.038088","kurnool","9985676311"
"77","M/s. Indian Red Cross Society Blood Bank","15.816357","78.040317","Opposite Ravi Theatre; D.M & H.O Compound; Beside Control Room; Kurnool ","9490601960"
"78","M/s. Viswa Bharathi General Hospital Blood Bank","0","0","2nd Floor; R. T. Nagar; Near Penchikalapadu (v) Kallur (m); Kurnool ",""
"79","M/s. Viswa Bharathi Blood Bank","0","0","D. No. 50/760-A-127-13;1st Floor (O.P. Block); Gayathri Estate; Kurnool.",""
"80","M/s. R.R. Hospital Blood Bank","15.82872","78.035743","D.No.40-304-10; 2nd Floor; Bhagya Nagar; Kurnool","9966662331"
"81","District Hospital Blood Bank ","15.469336","78.482935","District Hospital; Noonepalli; Nandyal; Kurnool ","9959912781"
"82","M/s. Shantiram Medical College & General Hospital Blood Bank","0","0","(Shafa Educational Society) NH-18; Nandyal",""
"83","Government Hospital Blood Bank","16.0833","78.8667","Blood Bank Medical Officer;  Blood Bank; Government Hospital; Srisailam Project; Kurnool District",""
"84","M/s. Area Hospital Blood Bank","15.825971","80.36127","Ground Floor; Room No.10; Area Hospital; Chirala; Prakasam ","9441743892"
"85","Indian Red Cross Society Blood bank","15.736154","79.269125","A.P.V.P. Area Hospital; Cumbum Road; Markapur","9440211131"
"86","M/s. RIMS General Hospital Blood Bank","15.487882","80.047144","C/o. RIMS General Hospital ; D.No. 8-5-2/A; Opposite Bapuji Kalamandir; Bhagya Nagar; 5th Lane; Ongole ","9000991884"
"87","Indian Red Cross Society Blood Bank","15.505723","80.049922","IRCS Blood Bank; Railway Station Road; SanthaPeta; Ongole; Prakasam ","9247264635"
"88","M/s. Life Line Volunytary Blood Bank","15.481367","80.05908","D. No.37-1-169/54; 2nd Floor; Sundharaiah Bhavan Raod; Ongole. ","09247023117, 09848999117"
"89","M/s. Belief Blood Bank","15.481367","80.05908","3rd Floor; Sai Complex; Addanki Bus Stop; Ongole ","9849499988"
"90","Government Hospital Blood Bank","14.146545","79.848756","Area Hospital Compound; Gudur ","8008553616"
"91","M/s. Kanamarlapudi Koteswara Rao Indian Red Cross Society (IRCS) (REPEATED)","0","0","Survey No.1083/3; R.D Office Compound; Kavali.","9849850498"
"92","M/s. APVVP Area Hospital Blood Bank","0","0","Area Hospital Compound Kavali","9247708602"
"93","M/s. Kanamarlapudi Koteswara Rao Indian Red Cross Society Blood Bank","14.913181","79.99298","Survey No.1083/3; R.D. Office Compound; Kavali ","9849850498"
"94","Indian Red Cross Society Blood Bank","14.426777","79.959008","Indian Red Cross Society (IRCS) Road; Madras Bus stand; Nellore   ","9347033100"
"95","District Headquarters Hospital (Repeated)","14.435424","79.966831","District Headquarters Hospital; Dargamitta; Nellore","92477088602"
"96","D.S.R. Headquarters Hospital Blood Bank","0","0","Government Hospital Compound; Nellore",""
"97","Narayana Medical College & Hospital Blood Bank","14.442599","79.986456","Narayana Hospital compound; Nellore","NA"
"98","Gems Hospital Blood Bank","18.289087","83.9056","Gems Hospital Premises; Ragolu; Srikakulam","9391489207"
"99","GMR Varalakshmi Care Hospital Blood Bank","18.461272","83.658352","GMR Varalakshmi Care Hospital Premises; GMR Nagar; Rajam ","NA"
"100","Rajiv Gandhi Institute of Medical Sciences (RIMS) General Hospital Blood Bank","18.312884","83.887717","RIMS Government Hospital Premises; Balaga; Srikakulam ","9701501018"
"101","Indian Red Cross Society (IRCS) Blood Bank","18.296359","83.894549","D.No. 8-5-2/A; Opposite to Bapuji Kalamandir; Srikakulam   ","NA"
"102","District Hospital","17.689592","82.997733","AH- ANAKAPALLI","9848325561"
"103","M/s. NTR Area Hospital Blood Bank","17.686427","83.218576","APVVP Hospital Premises; Anakapalli; Visakhapatnam  ","9491817042"
"104","M/s. Visakha Steel General Hospital Blood Bank","17.662908","83.144127","Ukkunagaram; Steel Plant; Visakhapatnam","07702917979, 08912888462"
"105","M/s. INHS Kalyani Blood Bank","0","0","INHS Kalyani Hospital; Gandhigram (PO); Visakhapatnam",""
"106","M/s. Anil Neerukonda Hospital  Blood Bank","17.97256","83.432338","Sangivalasa; Bheemunipatnam (M); Visakhapatnam District ","NA"
"107","M/s. King George Hospital (KGH) Blood Bank ","17.70667","83.303737","King George Hospital; Maharanipeta; Visakhapatnam","8912563345"
"108","M/s. Government Victoria Hospital Blood Bank","17.686816","83.218482","Women & Children Hospital Blood Bank; Visakhapatnam","9059522294"
"109","M/s. Indian Red Cross Society Blood Bank ","17.686816","83.218482","D.No:14-35-4; Behind Collecorate; Z..P. Junction; Maharanipeta; Visakhapatnam ","9848027203"
"110","M/s. Rotary Blood Bank (Vishaka Port City Rotary Charitable Trust)","17.686816","83.218482","D.No: 13-26-2/54; 3rd Floor; Apuroopa Arcade; Near Jagadamba Junction; Maharanipeta; Vishakapatnam ","9848193503"
"111","M/s. Apollo Hospital Heart & Kidney Centre Blood Bank","17.717084","83.309208","D.No.10-50-80; 1st Floor; Apollo Hospital; Waltair Main Road; Visakhapatnam.  ","NA"
"112","M/s. Seven Hills Hospital Blood Bank","17.71737","83.309268","D.No.11-4-4/A; 5th Floor; Rock Dale Layout; Waltair MainRoad; Visakhapatnam ","9848199322"
"113"," A. S. Raja Voluntary Blood Bank","17.720274","83.313048","D.No. 10-50-11/5; Ground Floor; 1st; 2nd and 3rd Floor; Beside CARE Hospital; Waltair Main Road; Ramnagar; Visakhapatnam ","9393963436"
"114","M/s. Lions Club of Visakhapatnam Blod Bank Trust  ","17.719063","83.311286","D. No.10-54-7; Lions Community Hall; Ram Nagar; Visakhapatnam ","917,723,430,709,393,000,000"
"115","M/s. N.T.R. Memorial Trust Blood Bank ","17.691575","83.238891","P. No. 15B-3-1; Block No. 56; Waltair Main Road; Ramnagar; Visakhapatnam ","09032005619	"
"116","M/s. Gitam Institute of Medical Sciences and Research Blood Bank ","17.784938","83.374975","D.No.5-168; Ward No.6; Gitam University; Rushikonda; Visakhapatnam ","9985556050"
"117","M/s. Gayatri Vidya Parishad Institute of Health Care and Medical Technology","17.689433","83.211615","D. No.6-25; Maridi Valley; Marikavalasa; Madhurawada; Vishakapatnam ","7675808026"
"118","Indian Red Cross Society Blood Bank, RCH-II","18.781716","83.426752","Area Hospital Premises; First Floor; Belagam; Parvathipuram ","9908842182"
"119","District Headquarters Hospital Blood Bank","18.110022","83.388433","District Headquarters Hospital; Cantonment; Vizianagaram ","9440070099"
"120","Indian Red Cross Society Blood Bank","18.106658","83.395551","D.No. 71/82; Near Ganesh Temple; Cantonment;  Vizianagaram","8142578999"
"121","Srinivasa Nursing Home Blood Bank ","0","0","Ground Floor; Plot No. 06; Arundati Nagar; Opposite to Goods Shed; Cantonment; Vizianagaram","9390028861"
"122","Maharaja Institute of Medical Sciences Blood Bank","0","0","D.No. 31-15; Nellimarla; Vizianagaram","9440043451"
"123","ASN Raju Charitable Trust Blood Bank","16.54391","81.516237","D.No. 24-1-1; R.K. Plaza (Sarovar complex); J. P. Raod; Bhimavaram ","9666001234"
"124","Uddaraju Anandaraju Foundation Blood Bank","16.543064","81.515731","D.No. 27-8-21/2; Sivaraopet; Bhimavaram","8897888108"
"125","M/s. Government Headquarters Hospital Blood Bank","17.006153","81.782132","Government Headquarters Hospital; Ground Floor; R.R. Peta; Eluru; West Godavari","NA"
"126","M/s. Indian Red Cross Society Component Blood Bank","16.711919","81.094839"," General Hospital Premises; Eluru; West Godavai ","9848177142"
"127","M/s. Alluri Sitrarama Raju Academy of Medical Sciences Blood Bank","16.737395","81.146494","Ground Floor; Hospital Block; NH 5 Eluru; West Godavari  ","07382626281, 07382626282"
"128","M/s. Good Samaritan Blood Bank","18.179738","83.39551","D.No.13-1; Good Samaritan Cancer and General Hospital; Vangayagudem; Eluru; West Godavari ","9440470715"
"129","M/s. Indian Red Cross Society Blood Bank jangareddi gudem","17.125307","81.273907","Government Hospital Premises; Jangareddygudem","9493009404"
"130","Indian Red Cross Society Blood Bank narasapuram","16.45196","81.680205","C/o. Community Healthcare Center; Narsapuram","8179704000"
"131","Palakol Voluntary Blood Bank","16.517455","81.725342","D.No. 47-1-12/2C; 1st floor; Beside Chamber of Commerce Building; Srinivasa Deluxe; Palakol ","9885144415"
"132","Indian Red Cross Society Blood Bank Tanuku  (Repeated)","16.757173","81.679963","IRCS Sub Branch Doorno 27-14-9; Dodipatlavari Street;  Tanuku; West Godavari District ",""
"133","Dr. Mulla Pudi Harischandra Prasad Red Cross Blood Bank","16.757173","81.679963","D.No.27-14-9; Doddipatla Vari Street; Tanuku.","9959312349"
"134","Sri Buddala Narasimhamurty Voluntary Blood Bank","16.414033","80.647085","D.No.34-4/5; Ground Floor; Supriya Towers; Tanuku ","9133111131"
"135","Rajiv Gandhi Institute of Medical Sciences Blood Bank","15.133392","78.514102","Blood Bank Medical Officer; O.P. Block Ground Floor; Blood Bank; RIMS General Hospital;Puttlampalli; Kadapa ( RIMS; Kadapa).","09502577742, 09703158194"
"136","Indian Red Cross Society, Blood Bank","14.467354","78.824134","D.No. 10-971; Opposite to Mattipedda Puli; Trunk Road; Kadapa ","9704798189"
"137","Boga Parvathamma Blood Bank ","14.467354","78.824134","A unit of boga parvathamma memorial blood donation service organization; d.no:7-137; second floor; jayanagar colony ; Kadapa   ","9440269795"
"138","Rajiv Gandhi Institute of Medical Sciences Blood Bank ","0","0","RIIMS General Hospital ;Ground Floor; Putlam Palli Kadapa","9703158194"
"139","Fathima Institute of Medical Sciences Blood Bank","0","0","Ramarajupalli; Pulivendula Road Kadapa","9440941709"
"140","District Hospital Blood Bank ","14.741621","78.550959","APVVP; Gavini Circle; Yerraguntla Bypass Road; Proddatur","8106104334"
"141","A.P Vaidyavidhanaparishad Area Hospital Blood Bank","0","0","Proddatur; YSR","9985198393"
"142","A.P. Vaidyavidhanaparishad Area Hospital - IRCS Blood Bank ","14.422232","78.226339","Ground Floor; Muddanuru Road; Pulivendula","9440978262"
"143","Changlang District Hospital Blood Bank","27.139258","95.738757","District Hospital; Changlang District; Arunachal Pradesh","9436068812"
"144","Pasighat General Hospital Blood Bank","28.071544","95.325113","General Hospital; Pasighat;  Jt. DHS (T&R); High Region; Near NH 52. ","9436225890"
"145","Lohit District Hospital Blood Bank","27.559574","96.101627","District Hospital Tezu; Lohit District; Arunachal Pradesh","9436633161"
"146","General Hospital Ziro  Blood Bank","27.53875","93.822176","General Hospital Ziro; Lower Subansiri   ","08415000448, 09402290012"
"147","Ramakrishna Mission Hospital Blood bank","27.086178","93.609065","Ramakrishna Mission Hospital  P.O. Ramakrishna Mission Itanagar; ","943,605,074,609,774,000,000"
"148","Arunachal State Hospital Blood Bank","27.103121","93.691936","Arunachal State Hospital / General Hospital; NH 52A; Lumer Dai Road","08731981187, 09436896857"
"149","Tawang District Hospital Blood Bank","27.588943","91.864896","District Hospital; Tawang District ; Arunachal Pradesh","9402222155"
"150","Tawang District Hospital Blood Bank ","0","0","Bomdila;Tawang","9402795155"
"151","District Hospital Blood Bank","0","0","Roing;Tezu; Upper Siang",""
"152","Upper Siang District Hospital Blood Bank","28.641662","95.025348","District Hospital; Yingkiong; Upper Siang District;  Arunachal Pradesh.","9436226409"
"153","Upper Subansiri District Hospital Blood Bank","27.981329","94.217428","District Hospital Daporijo; Upper Subansiri District;  Arunachal Pradesh","08794050827, 09436089691"
"154","West Siang District Hospital Blood Bank","28.169282","94.801031","District Hospital; Medical Complex; Aalo","9436056268"
"155","Fakhruddin Ali Ahmed (FAA) Medical College Hospital Blood Bank","26.323792","90.986661","Ground Floor  Fakhruddin Ali Ahmed Medical College; Jotigaon; Jania Road. Opposite to Chaulkhowa River ","09435042865, 07896364895"
"156","Bongaigaon Civil Hospital Blood Bank","26.456671","90.560234","Main Road; Mayapuri;Bongaigaon","9435021056"
"157","Lower Assam Hospital Blood Bank","26.492861","90.551479","Chapaguri Road; North Bongaigaon","9435720622"
"158","Silchar Medical College and Hospital Blood Bank","24.775578","92.794251","Krishnapur Medical Road; Ghungoor; Silchar ","9435076209"
"159","Indian Red Cross Children Hospital Blood Bank","24.826127","92.796159","Indian Red Cross Children Hospital; Tarapur; Silchar","9401854401"
"160","Barak Blood Bank and Clinical Research Centre","24.808015","92.795242","Central Rd; Tarapur; Kanakpur Part-II","9435071314"
"161","Bongaigaon Refinery (BRPL) Hospital Blood Bank ","26.510577","90.522683","BRPL Refinery; iocl/bgr township","9435121190"
"162","Mangaldoi Civil Hospital Blood Bank","26.437551","92.036395","Mangaldoi Civil Hospital; NH 52; Mangaldoi; Darrang","9854035697"
"163","Dhemaji Civil Hospital Blood Bank","27.458026","94.574533","Ward No:9; Lachit Nagar; Natun Nagar Rd","9678100660"
"164","Dhubri Civil Hospital Blood Bank","26.034365","89.963554","Jhagrarpar; Dhubri","9435028860"
"165","Assam Medical College and Hospital Blood Bank","27.486985","94.944179","Barbari; Dibrugarh","9435033505"
"166","Dr. Damani&#39;s Nursing Home Blood Bank","27.4898858","94.9229632","L.G.B. Avenue; Near Circuit House","9435031702"
"167","Aditya Diagnostic Hospital Blood Bank","27.491383","94.931116","Bordoloi Avenue; Dibrugarh","9435030421"
"168","Sri Manta Sankardeva Hospital and Research Centre Blood Bank","0","0","Chowkindinge; Mancotta Road","9435269959"
"169","Dirial Central Hospital Blood Bank","0","0","Diral Tea estate; Hoogrijan","09435181581, 09435748265"
"170","Oil India Limited Hospital Blood Bank","27.359192","95.323648","Oil Hospital; Duliajan","9954498584"
"171","Haflong Civil Hospital Blood Bank ","25.165653","93.024831","NH 54; Songpijaang; Haflong","9435077512"
"172","Goalpara Civil Hospital Blood Bank","26.142267","90.610584","Agia Road; Goalpara","9435023847"
"173","Solace Hospital and Research centre Pvt.Ltd Blood bank","26.164643","90.624877","BOC Agia Road Road; P.O. Baladmari Opposite to Assam Oil Petrol Pump","9435323781"
"174","Kushal Konwar (KK) Civil Hospital Blood Bank","26.510171","93.964569","Abita Building; 1st floor;  Golaghat Near stataion Rd ","9435151875"
"175","Vivekananda Kendra NRL Hospital Blood Bank","26.591371","93.749516","NRL Township; Numaligarh Refinery Complex","9435478406"
"176","S. K. Roy Civil Hospital Blood Bank ","24.671769","92.563355","Hailakandi Civil Hospital; NH 154; Bashdahar; Hailakandi","9859763582"
"177","Jorhat Medical College and Hospital Blood Bank ","26.742573","94.195109","Telemedicine Department; KB Road; Kushal Nagar; Tarajan","9435747816"
"178","Air Force Hospital Blood Bank","0","0","Air Force station; Jorhat; 5; C/O 99 APO","9706054599"
"179","Greater Jorhat Lions Blood Bank","26.753059","94.185964","Lions Multiple Service Centre; Sonali Jayanti Nagar","09854665019, 09854050900"
"180","Mahendra Mohan Choudhury (MMC) Hospital  Blood Bank","26.185505","91.740485","Panbazar; Guwahati","9401389455"
"181","Dispur Blood Bank","26.149823","91.786638","Ganeshguri; Dispur","9707020370"
"182","Saharia&#39;s Path Lab & Blood Bank","26.16274","91.770664","Guwahati - Shillong Rd; Near Petrol Pump; ABC; Bhangagarh Opposite Anil Plaza","9864097823"
"183","International Hospital Blood Bank","26.154059","91.781267","Lotus Tower; G.S. Road; Christian Basti","09864017874, 07135005305"
"184","Hayat Hospital Blood Bank","26.139171","91.746199","Odalbakra; Lalganesh","9508122223"
"185","Rahman Hospital Private Limited Blood Bank","26.135133","91.809429","VIP Road; Sixmile; Khanapara; ","9864010982"
"186","GNRC Institute of Medical Sciences Blood bank","26.202192","91.693312","Sila Grant Town; North Guwahati ; Near IIT Guwahati","9706900636"
"187","Central Hospital N. F. Railway Blood Bank","26.151872","91.694899","PNGB Road; Near Kamakhya Railway Station; Maligaon; Guwahati","9957550524"
"188","G.N.R.C. Hospital Blood Bank","26.1391","91.794024","Dispur; Guwahati","9954088100"
"189","Guwahati Medical College and Hospital (GMCH) State of The Art Model Blood Bank","26.159914","91.768498","GMCH Complex; GMCH Rd; Bhangagarh; Guwahati","9864096208"
"190","Dr. B. Borooah Cancer Institute Blood Bank","26.165087","91.747674","Gopinath Nagar; Birubari; Guwahati","9864016791"
"191","Assam Gujarat Voluntary Blood Bank and Research Centre","26.176689","91.753784","33; Anil Mazamill Road; Lane opposite to Apsara Cinema;  Manipuri Basti","9864096134"
"192","Down Town Hospital Blood Bank ","26.136151","91.796833","4th Floor; Buiding No:1; G.S. Road; Dispur","9706025061"
"193","Ganga Hospital Blood Bank","26.172081","91.759992","G. S. Road; Lachit Nagar; Ulubari;  Near KFC; Neubari","8011010800"
"194"," Surakhya  Blood Bank ","26.175065","91.75257","Arya Hospital complex; A.M. Road; Rehabri Opposite Apsara Cinema Hall","9864015329"
"195","Marwari Hospital and Research Centre Blood Bank","26.172012","91.740106","Sati Jaymati Road; Athgaon","09435049187, 07399044096"
"196","151 Base Hospital Blood Bank","26.104222","91.796169","Basistha; Guwahati","9959857437"
"197","Sanjevani Hospital Blood Bank","26.161206","91.70941","Maligaon;  Guwahati","8811091296"
"198","Narayana Hrudayalaya Limited Blood Bank","26.20775","91.678242","Tularam Bafana Civil Hospital Campus; North Guwahati; Amingaon.","08811079324, 07086020485"
"199","Diphu Civil Hospital Blood Bank","25.844281","93.433805","Diphu; Karbi Anglong","9435066080"
